Alloy,Finish,Length_m,Weight_kg_per_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Tin,Phosphated,25.4,1.404,Kilspår,0.136610674865383,medium,32328,3.95,medium,8.0,4.16,2025-07-19
Copper,Brushed,26.9,1.549,Ventilationslister,0.13050272214106465,high,94670,3.49,large,9.0,3.06,2025-03-15
Steel,Blackening,16.2,5.173416,H-profil,0.08902235611040654,medium,79899,3.52,micro,5.0,3.32,2025-09-13
Tin,Plasma sprayed,21.7,0.971,Ramlist,0.14656961969743337,low,49697,3.19,micro,5.0,3.86,2025-10-03
Lead,Wet painted,33.3,1.576,Anslagslist,0.116818121702213,low,141498,3.63,medium,3.0,2.23,2025-11-24
Nickel,Phosphated,18.9,1.416,F-profil,0.12003970813957553,high,139623,2.85,medium,9.0,2.27,2025-11-25
Iron,Polished,28.1,1.191,Doldbeslag,0.19913607805096664,low,77706,3.85,micro,12.0,3.36,2025-03-12
Aluminium,Chrome plated,20.7,1.451,Skarvprofil,0.1941114321231375,low,79957,2.74,small,3.0,3.32,2025-03-19
Iron,Hot-dip galvanized,16.0,1.074,Sidoprofil,0.1646623235529314,low,99860,3.59,micro,10.0,2.97,2025-10-11
Titanium,Powder coated,21.3,1.152,Sidoprofil,0.158312913572929,high,155478,3.09,small,5.0,1.98,2025-05-10
Titanium,Hot-dip galvanized,38.3,1.673,U-profil,0.15015395518045635,medium,136443,3.74,medium,2.0,2.32,2025-02-12
Steel,Polished,34.3,1.102,Anslagslist,0.0786952973514614,low,157045,3.42,small,5.0,1.96,2025-01-08
Lead,Hot-dip galvanized,37.9,1.265,Karmlist,0.05648106283596771,high,159196,3.27,large,4.0,1.92,2025-01-13
Lead,Wet painted,27.0,1.648,Bottenlist,0.15613755359423967,low,45803,2.82,medium,7.0,3.92,2025-08-01
Copper,Brushed,18.3,1.482,Glasningslist,0.16385752971897513,high,87243,3.56,micro,8.0,3.19,2025-04-21
Copper,Blackening,28.4,0.894,Kantskydd,0.05729700528238539,low,108139,4.1,micro,9.0,2.82,2025-10-18
Copper,Powder coated,26.2,0.971,Tätningslist,0.18707518703535758,high,114974,3.86,medium,3.0,2.7,2025-01-23
Nickel,Electroplated,35.3,0.844,Skenprofil,0.061451528835497204,high,57645,2.65,medium,7.0,3.71,2025-10-29
Brass,Polished,18.0,1.412,Skruvkanal,0.08321051261357372,medium,150723,3.15,large,7.0,2.07,2025-09-11
Zinc,Anodized,27.0,1.245,J-profil,0.14322667745267895,low,82690,4.02,medium,11.0,3.27,2025-01-15
Brass,Electroplated,19.2,0.96,Glashållare,0.07536245705064398,medium,127341,3.35,micro,6.0,2.48,2025-05-10
Iron,Hot-dip galvanized,23.2,1.71,F-profil,0.050101355636883914,low,91857,3.6,large,11.0,3.11,2025-03-02
Brass,Polished,32.8,1.32,H-profil,0.10406157745150879,medium,97354,4.0,micro,11.0,3.01,2025-04-25
Nickel,Blackening,26.7,1.058,Hakprofilslist,0.16854025676872267,low,34206,3.94,small,8.0,4.13,2025-11-16
Iron,Plasma sprayed,24.4,1.293,Droppnäsa,0.09803303190041396,low,72467,3.35,medium,4.0,3.45,2025-11-04
Brass,Blackening,24.9,1.456,Droppnäsa,0.1618574136789254,high,40261,3.25,small,5.0,4.02,2025-11-21
Nickel,Anodized,26.4,0.907,Glasningslist,0.13295615516157186,medium,58440,3.09,micro,,3.7,2025-03-08
Zinc,Powder coated,33.9,1.087,Isolerprofil,0.05,high,156398,3.69,small,10.0,1.97,2025-09-06
Brass,Blackening,36.4,1.572,Baslister,0.1860091229662556,low,151589,3.01,small,5.0,2.05,2025-06-24
Nickel,Chrome plated,37.8,1.256,Karmprofil,0.05,low,91001,2.95,micro,4.0,3.12,2025-12-05
Copper,Plasma sprayed,33.9,1.335,Hörnvinkel,0.2,low,109867,3.12,micro,3.0,2.79,2025-01-02
Lead,Electroplated,23.0,1.231,Korsprofil,0.1298791530599469,high,112964,2.83,medium,6.0,2.74,2025-06-21
Copper,Brushed,31.7,0.877,Vinkellist,0.1958352549061884,low,113499,3.66,small,5.0,2.73,2025-11-30
Lead,Wet painted,25.9,0.988,Doldbeslag,0.07130302635909924,low,132064,3.53,large,9.0,2.4,2025-10-11
Aluminium,Chrome plated,21.6,1.243,Sidoprofil,0.13206703166861344,low,113518,3.32,large,8.0,2.73,2025-02-23
Aluminium,Plasma sprayed,35.2,1.028,Dekorlist,0.07803632042749302,medium,154657,3.17,micro,7.0,2.0,2025-03-08
Aluminium,Brushed,16.6,0.883,Glaskil,0.053986320182150514,high,113029,4.0,micro,12.0,2.74,2025-04-12
Zinc,Brushed,36.6,1.606,Distansprofil,0.1403707785402255,high,60861,2.6,small,3.0,3.66,2025-04-30
Copper,Polished,26.4,1.731,Tätningslist,0.0685747393746773,high,82868,3.77,micro,4.0,3.27,2025-07-10
Lead,Plasma sprayed,30.5,1.56,Ändprofil,0.14057611538746256,medium,141649,3.98,large,11.0,2.23,2025-10-31
Nickel,Powder coated,31.0,1.615,Glaskil,0.06174944328539159,high,105602,3.26,medium,10.0,2.87,2025-02-16
Iron,Hot-dip galvanized,36.4,1.058,Droppnäsa,0.10263347641164974,medium,127680,3.43,medium,10.0,2.48,2025-08-10
Nickel,Anodized,30.5,1.712,Bottenlist,0.17252761303146824,medium,127268,4.05,small,6.0,2.48,2025-01-21
Iron,Anodized,29.9,1.017,Glasningslist,0.13635073678257492,medium,61804,2.89,medium,4.0,3.64,2025-06-07
Titanium,Electroplated,17.3,1.704,Hakprofil,0.1404388529257632,low,148416,3.38,micro,3.0,2.11,2025-12-14
Nickel,Electroplated,27.7,1.743,Skenprofil,0.144898582855842,low,69446,3.3,micro,9.0,3.51,2025-06-08
Brass,Anodized,19.2,1.485,Z-profil,0.1717374574329277,high,72597,2.96,micro,7.0,3.45,2025-08-23
Brass,Blackening,32.8,1.731,Glashållare,0.09047824345150274,high,118694,3.85,micro,11.0,2.64,2025-05-30
Steel,Powder coated,27.6,1.356,Baslister,0.1516806469376184,medium,159473,3.98,small,12.0,1.91,2025-09-14
Copper,Blackening,31.5,1.074,Hakprofil,0.1965765214633499,high,158242,3.79,medium,8.0,1.94,2025-06-14
Iron,Blackening,16.7,1.235,Korsprofil,0.165692911283892,medium,100907,2.86,large,2.0,2.95,2025-03-18
Iron,Wet painted,17.7,1.378,Z-profil,0.11900189721082327,high,49239,2.69,medium,2.0,3.86,2025-03-26
Copper,Phosphated,32.3,0.904,Bottenlist,0.14269138559166614,low,122767,3.51,micro,11.0,2.56,2025-02-15
Zinc,Hot-dip galvanized,17.4,1.404,Korsprofil,0.1617413548795327,low,83015,2.64,large,3.0,3.27,2025-02-16
Steel,Wet painted,17.4,1.731,Vinkellist,0.1425391581168355,high,76760,3.62,small,11.0,3.38,2025-08-01
Zinc,Polished,16.0,1.01,Kantprofil,0.05047133430569233,medium,98876,3.39,micro,4.0,2.99,2025-02-28
Zinc,Phosphated,37.9,1.559,Karmprofil,0.08158550458770361,low,100522,3.6,micro,2.0,2.96,2025-02-23
Zinc,Phosphated,32.8,1.664,T-profil,0.18010296197088718,medium,44966,3.49,large,6.0,3.94,2025-12-08
Copper,Plasma sprayed,23.9,1.697,Glaskil,0.09420170955754996,high,94419,3.22,small,4.0,3.06,2025-01-12
Zinc,Powder coated,22.6,1.712,Skruvkanal,0.15520046879456434,high,67621,2.87,large,2.0,3.54,2025-07-11
Brass,Powder coated,23.8,1.312,Fönsterbleck,0.10335469516648231,low,34079,3.04,small,9.0,4.13,2025-01-06
Aluminium,Phosphated,33.7,1.727,Mittpost,0.13421668015673732,high,45486,3.38,micro,12.0,3.93,2025-11-05
Titanium,Blackening,31.0,1.527,H-profil,0.06166833238315278,low,48759,3.59,medium,7.0,3.87,2025-05-24
Iron,Plasma sprayed,20.0,0.984,Glashållare,0.0663744026487501,medium,118546,3.79,micro,10.0,2.64,2025-12-12
Iron,Hot-dip galvanized,19.8,1.272,Dekorlist,0.1982452487472077,low,120055,3.77,medium,4.0,2.61,2025-09-18
Titanium,Phosphated,18.0,1.491,Fönsterbleck,0.1804233748096136,low,37357,4.1,medium,10.0,4.07,2025-03-14
Copper,Chrome plated,31.0,1.063,Foglist,0.14160744038191195,medium,92963,3.0,small,10.0,3.09,2025-06-23
Nickel,Electroplated,33.4,1.421,Hakprofil,0.11762017422348263,low,51033,2.66,large,2.0,3.83,2025-08-20
Copper,Electroplated,21.9,1.444,Distansprofil,0.16352706689830557,low,51457,3.1,small,4.0,3.82,2025-09-27
Iron,Wet painted,16.2,0.985,Foglist,0.14446637934750467,high,67330,3.73,micro,7.0,3.54,2025-12-28
Iron,Polished,17.6,1.352,Glasningslist,0.14317638686997505,medium,51913,3.25,large,9.0,3.82,2025-08-10
Titanium,Electroplated,38.1,1.54,Z-profil,0.0577325760021643,low,140912,3.85,medium,5.0,2.24,2025-02-21
Zinc,Brushed,22.6,1.292,Karmprofil,0.14991247736831118,medium,147380,3.42,medium,6.0,2.13,2025-04-26
Copper,Wet painted,33.5,0.848,Kantskydd,0.16465499862833788,medium,115328,4.03,micro,10.0,2.69,2025-01-26
Lead,Electroplated,30.2,0.845,Avvattningsprofil,0.2,low,118582,4.06,large,7.0,2.64,2025-02-22
Titanium,Polished,24.6,1.162,Innerbåge,0.05000452748422475,high,37488,2.66,micro,8.0,4.07,2025-12-31
Brass,Blackening,20.5,5.173416,Glasningslist,0.15316377185547778,medium,139406,3.28,micro,8.0,2.27,2025-01-29
Iron,Blackening,18.5,1.046,F-profil,0.13698649229389487,low,160646,3.52,small,5.0,1.89,2025-01-19
Titanium,Powder coated,30.0,1.415,Anslagslist,0.12670416939061013,medium,61980,2.96,micro,5.0,3.64,2025-10-30
Copper,Powder coated,33.7,1.04,Sidoprofil,0.065312109313143,high,135661,3.2,large,5.0,2.34,2025-10-06
Iron,Hot-dip galvanized,30.6,1.13,Ändprofil,0.098635892777681,high,92419,3.63,micro,12.0,3.1,2025-04-27
Nickel,Phosphated,28.0,1.61,Kilspår,0.10515256057464328,high,134602,2.91,large,6.0,2.35,2025-04-16
Titanium,Chrome plated,16.7,1.501,Hörnvinkel,0.09642717778654436,low,106700,3.51,medium,6.0,2.85,2025-11-05
Steel,Powder coated,38.1,0.924,Kantprofil,0.17231439654734135,low,88018,3.66,micro,9.0,3.18,2025-08-15
Iron,Plasma sprayed,34.2,1.228,Korsprofil,0.1588091762428125,high,68745,2.69,large,10.0,3.52,2025-12-18
Copper,Electroplated,22.5,0.864,Clipsprofil,0.13734278084364987,low,38096,3.34,medium,3.0,4.06,2025-07-05
Aluminium,Plasma sprayed,38.4,1.275,U-profil,0.2,high,79518,2.97,large,12.0,3.33,2025-09-18
Lead,Polished,29.7,1.441,Ventilationslister,0.09132239993487065,low,71431,3.7,medium,8.0,3.47,2025-01-16
Tin,Powder coated,29.2,0.945,Ytterram,0.09943365289466242,medium,40423,2.85,small,2.0,4.02,2025-09-30
Zinc,Chrome plated,33.0,1.1,Kilspår,0.14234034591796837,medium,40522,3.97,micro,2.0,4.02,2025-06-09
Tin,Polished,34.5,1.2,Anslagslist,0.07683912850678679,high,56374,3.24,micro,5.0,3.74,2025-12-24
Copper,Brushed,30.9,1.675,J-profil,0.10598271796253945,high,144258,2.86,medium,11.0,2.18,2025-09-07
Brass,Brushed,18.7,1.742,Ändprofil,0.08019538386092098,low,148388,3.25,small,8.0,2.11,2025-08-12
Brass,Plasma sprayed,23.6,0.878,Skarvprofil,0.07400027416799096,low,62125,3.2,large,3.0,3.64,2025-09-13
Aluminium,Phosphated,37.2,1.53,Doldbeslag,0.1757794029055008,low,69139,3.23,small,12.0,3.51,2025-06-29
Zinc,Wet painted,20.9,1.176,Kopplingsprofil,0.08341189952332545,low,139412,3.48,large,3.0,2.27,2025-01-20
Steel,Phosphated,24.3,1.195,Rörprofil,0.11861513895606929,low,159814,3.38,large,2.0,1.91,2025-04-22
Aluminium,Blackening,25.7,1.524,Täckprofil,0.05,low,100622,2.79,micro,11.0,2.95,2025-04-30
Tin,Hot-dip galvanized,25.9,1.674,Ändprofil,0.145395655029004,medium,88621,2.65,medium,3.0,3.17,2025-07-13
Aluminium,Phosphated,29.9,1.703,Kantskydd,0.09079108023115802,high,131474,3.71,micro,8.0,2.41,2025-04-21
Tin,Hot-dip galvanized,37.6,1.363,Ventilationslister,0.16697067253431042,high,134800,3.44,micro,10.0,2.35,2025-07-29
Iron,Hot-dip galvanized,21.3,1.162,T-profil,0.11752542242529122,high,142400,3.12,micro,7.0,2.22,2025-01-01
Brass,Chrome plated,18.5,1.555,Pärlspont,0.08054963783592861,low,58288,3.84,large,11.0,3.7,2025-02-27
Iron,Powder coated,20.3,1.066,Glasningslist,0.13698748969492824,high,67807,3.17,micro,3.0,3.54,2025-04-03
Lead,Chrome plated,36.3,1.351,Spröjsprofil,0.07030737412392457,medium,131544,3.82,large,,2.41,2025-08-09
Zinc,Hot-dip galvanized,30.7,1.164,Hakprofil,0.11700322824009558,medium,130944,3.04,medium,11.0,2.42,2025-07-30
Steel,Polished,22.3,1.435,Täckprofil,0.10152492233554253,medium,158088,2.67,large,10.0,1.94,2025-08-20
Tin,Brushed,34.6,1.056,Ändprofil,0.19876704363359193,high,127551,4.03,large,8.0,2.48,2025-09-19
Steel,Hot-dip galvanized,35.7,1.012,Fönsterbåge,0.05740066815713874,medium,56106,3.18,small,12.0,3.74,2025-12-30
Tin,Chrome plated,35.3,1.674,Täckprofil,0.15320095678388945,high,69201,3.81,micro,2.0,3.51,2025-04-13
Copper,Polished,37.0,0.93,U-profil,0.06575503753190509,high,49343,2.99,micro,10.0,3.86,2025-02-19
Aluminium,Chrome plated,21.6,1.298,Kilspår,0.09763437125039397,low,108061,3.58,micro,3.0,2.82,2025-04-20
Lead,Phosphated,33.2,1.038,Glaskil,0.10467732541923998,low,42052,3.94,micro,5.0,3.99,2025-03-29
Brass,Electroplated,26.4,0.873,Ramlist,0.1890383606473169,medium,101293,2.62,small,,2.94,2025-01-20
Tin,Plasma sprayed,35.2,0.87,Distansprofil,0.0893743692239213,medium,74916,3.87,small,5.0,3.41,2025-01-14
Steel,Wet painted,32.6,0.997,Anslagslist,0.06636523433625412,high,84427,3.46,small,4.0,3.24,2025-05-13
Lead,Blackening,33.7,1.627,Dekorlist,0.0890602928339201,medium,107077,3.52,small,2.0,2.84,2025-10-23
Nickel,Chrome plated,30.9,1.095,Clipsprofil,0.07034341847398179,medium,32753,3.38,micro,8.0,4.15,2025-02-03
Nickel,Wet painted,19.8,1.703,T-profil,0.07596589711509741,high,107732,3.94,large,7.0,2.83,2025-07-27
Iron,Anodized,28.3,1.367,Ytterram,0.1400223437795926,medium,155172,2.62,medium,11.0,1.99,2025-10-28
Brass,Chrome plated,38.5,1.235,Rörprofil,0.06500815981846292,medium,119662,2.97,small,5.0,2.62,2025-07-18
Copper,Electroplated,37.4,1.366,Isolerprofil,0.05031896096998965,high,43276,3.94,large,7.0,3.97,2025-03-21
Steel,Wet painted,16.7,1.308,J-profil,0.16198072232927066,high,146476,3.75,small,7.0,2.14,2025-03-12
Aluminium,Blackening,19.5,1.528,Hörnvinkel,0.0938148699302047,high,131422,2.58,micro,5.0,2.41,2025-06-04
Aluminium,Hot-dip galvanized,18.8,1.095,Pärlspont,0.07158067402975724,high,102704,3.37,micro,7.0,2.92,2025-03-19
Steel,Chrome plated,32.5,1.159,Anslagslist,0.09549460849111605,low,114232,3.39,large,11.0,2.71,2025-03-19
Zinc,Powder coated,34.7,1.652,Isolerprofil,0.14881316411330003,medium,129470,3.19,large,12.0,2.44,2025-06-21
Copper,Plasma sprayed,20.7,1.699,Kantprofil,0.09354352049921881,high,110007,3.02,large,9.0,2.79,2025-10-16
Lead,Electroplated,27.4,1.65,Isolerprofil,0.12678193873975593,low,121947,3.63,micro,4.0,2.58,2025-02-02
Tin,Wet painted,35.2,1.219,Innerbåge,0.07441333298158148,high,65988,2.88,micro,5.0,3.57,2025-10-27
Zinc,Electroplated,32.7,1.548,Innerbåge,0.1426389135286785,medium,119140,3.82,medium,11.0,2.63,2025-10-03
Tin,Polished,28.3,1.271,Isolerprofil,0.100977550606963,low,149406,3.83,large,2.0,2.09,2025-01-07
Tin,Blackening,29.4,1.29,Kopplingsprofil,0.14913996541290775,medium,140110,3.21,medium,5.0,2.26,2025-06-09
Zinc,Plasma sprayed,27.5,1.024,Bottenlist,0.1618358589917827,medium,137079,3.0,small,12.0,2.31,2025-08-28
Iron,Hot-dip galvanized,22.6,1.376,L-profil,0.14439179527874377,high,126089,3.0,medium,11.0,2.5,2025-01-24
Nickel,Chrome plated,28.8,1.007,Kilspår,0.08035387567202336,low,128816,3.32,small,11.0,2.46,2025-08-02
Tin,Chrome plated,31.7,1.139,Droppnäsa,0.0952196332356579,medium,34317,3.69,small,10.0,4.13,2025-03-11
Zinc,Chrome plated,35.9,1.616,Kopplingsprofil,0.09460473559588908,medium,40257,3.12,medium,9.0,4.02,2025-08-04
Zinc,Plasma sprayed,30.5,1.026,Pärlspont,0.07361842035364412,medium,146834,3.52,large,12.0,2.14,2025-04-14
Titanium,Powder coated,33.3,0.902,Glaskil,0.08373297553036625,medium,140024,3.16,small,5.0,2.26,2025-08-03
Iron,Anodized,19.4,0.9,Karmprofil,0.15140458908396823,high,37092,3.03,large,8.0,4.08,2025-02-23
Brass,Brushed,26.4,1.694,Droppnäsa,0.10201721133269606,high,88282,2.59,micro,11.0,3.17,2025-10-21
Titanium,Phosphated,15.9,1.299,F-profil,0.1365446481520232,low,45537,2.56,small,4.0,3.93,2025-11-26
Titanium,Wet painted,21.4,1.21,Korsprofil,0.12755269965545749,medium,83886,2.91,micro,10.0,3.25,2025-12-02
Steel,Powder coated,32.5,1.576,Ramlist,0.13698199957502,high,114087,3.2,medium,11.0,2.72,2025-07-22
Nickel,Hot-dip galvanized,38.7,1.598,Foglist,0.06283531707998347,high,51552,3.9,large,5.0,3.82,2025-10-15
Zinc,Wet painted,18.0,1.14,Ramlist,0.18999288237621847,low,43007,3.82,medium,3.0,3.97,2025-02-14
Nickel,Chrome plated,25.0,1.469,Foglist,0.0820162286448331,low,66506,2.97,small,11.0,3.56,2025-11-13
Copper,Electroplated,34.2,1.54,Kopplingsprofil,0.16854657141337093,low,126576,2.94,micro,6.0,2.5,2025-07-17
Steel,Hot-dip galvanized,20.4,1.433,Droppnäsa,0.16208293189464082,medium,35843,2.91,small,,4.1,2025-08-04
Brass,Wet painted,28.6,0.975,Ändprofil,0.1544227326044071,high,76435,3.09,medium,11.0,3.38,2025-11-05
Nickel,Blackening,32.7,1.635,Fönsterbåge,0.13375314029458366,medium,148769,3.34,large,7.0,2.1,2025-11-28
Aluminium,Chrome plated,30.0,1.328,Baslister,0.05446502786467786,low,146124,3.25,large,12.0,2.15,2025-07-03
Tin,Wet painted,20.1,1.095,Glaskil,0.10557121685831242,medium,136947,2.9,small,11.0,2.31,2025-01-27
Copper,Electroplated,24.0,1.225,Skruvkanal,0.12525991652288052,medium,67331,2.76,small,2.0,3.54,2025-06-15
Iron,Blackening,33.9,0.871,Doldbeslag,0.11246318862094452,medium,75229,2.57,micro,7.0,3.4,2025-11-14
Brass,Chrome plated,28.6,0.954,Clipsprofil,0.17878100825013912,high,98047,2.79,medium,5.0,3.0,2025-10-01
Copper,Anodized,15.8,1.534,Anslagslist,0.09608716441939123,medium,90151,3.67,small,4.0,3.14,2025-12-31
Tin,Powder coated,33.3,0.837,Isolerprofil,0.09179383346358505,medium,87611,2.94,micro,3.0,3.18,2025-04-13
Steel,Polished,16.5,1.217,Kantprofil,0.08531565209791818,medium,144413,3.3,small,8.0,2.18,2025-11-29
Tin,Phosphated,33.0,1.313,U-profil,0.09491766956655294,high,137631,3.49,large,10.0,2.3,2025-04-14
Titanium,Plasma sprayed,20.4,0.887,Avvattningsprofil,0.13424741369922868,medium,98167,3.96,micro,4.0,3.0,2025-09-02
Tin,Phosphated,37.9,1.723,Droppnäsa,0.14872678121919172,medium,121080,3.96,micro,7.0,2.59,2025-11-01
Titanium,Hot-dip galvanized,24.2,1.043,Z-profil,0.15213251652420956,low,89496,3.74,small,10.0,3.15,2025-06-18
Steel,Phosphated,23.3,1.114,Distansprofil,0.17482811275428878,high,106005,2.61,medium,3.0,2.86,2025-04-26
Lead,Chrome plated,19.2,1.114,L-profil,0.19661559632056466,medium,90194,3.46,large,8.0,3.14,2025-05-21
Titanium,Anodized,22.8,1.047,Glasningslist,0.1599455192055596,low,119940,3.8,medium,6.0,2.61,2025-12-22
Iron,Polished,36.0,0.839,Isolerprofil,0.05083140775168497,high,139737,2.58,micro,6.0,2.26,2025-05-05
Tin,Powder coated,38.8,1.502,Täckprofil,0.16133735532989962,high,46891,3.42,medium,12.0,3.9,2025-01-25
Tin,Powder coated,24.2,1.718,Glasningslist,0.08411566698681903,medium,129547,3.91,micro,8.0,2.44,2025-07-13
Iron,Electroplated,26.1,1.042,Hörnvinkel,0.07190518228189614,high,81193,3.3,medium,,3.3,2025-04-10
Aluminium,Plasma sprayed,32.4,1.441,Spröjsprofil,0.1500422826816562,high,33027,2.56,small,5.0,4.15,2025-01-05
Zinc,Wet painted,36.2,1.513,Kopplingsprofil,0.09488149391480631,high,53659,2.57,medium,10.0,3.79,2025-01-19
Lead,Anodized,29.5,1.61,Glaskil,0.06547801159274055,medium,76122,3.21,micro,12.0,3.39,2025-06-19
Brass,Wet painted,24.8,1.222,Sidoprofil,0.07030484244841478,medium,133847,2.8,large,11.0,2.37,2025-10-01
Titanium,Polished,25.3,1.113,Skarvprofil,0.05,medium,147636,3.61,large,10.0,2.12,2025-09-11
Iron,Phosphated,31.8,1.134,Fönsterbåge,0.18530084628040594,medium,135699,3.68,large,5.0,2.33,2025-05-01
Steel,Powder coated,15.8,1.486,Doldbeslag,0.05,low,144413,2.83,micro,4.0,2.18,2025-02-01
Titanium,Polished,30.1,1.581,Vinkellist,0.09064866897092567,medium,120834,3.96,medium,3.0,2.6,2025-05-29
Zinc,Phosphated,24.0,1.003,Doldbeslag,0.10854248228091734,medium,43229,3.25,large,10.0,3.97,2025-09-23
Steel,Powder coated,34.1,1.175,Korsprofil,0.12359786816638843,high,160888,2.78,large,3.0,1.89,2025-02-06
Copper,Phosphated,17.9,1.659,Hakprofilslist,0.18584572478278738,medium,92391,3.77,large,7.0,3.1,2025-06-26
Tin,Plasma sprayed,29.3,1.572,Fönsterbåge,0.05221077966393579,high,112678,3.81,small,6.0,2.74,2025-12-08
Copper,Anodized,26.9,1.734,Ventilationslister,0.12984446764982305,medium,55819,3.57,micro,6.0,3.75,2025-01-13
Titanium,Blackening,30.6,1.524,Innerbåge,0.16719326231616263,medium,49693,3.91,micro,,3.86,2025-07-02
Zinc,Hot-dip galvanized,17.2,1.195,Bottenlist,0.19147162966455794,medium,66618,3.72,micro,7.0,3.56,2025-05-25
Lead,Polished,29.1,1.375,Karmlist,0.14882306299994974,low,106831,3.95,micro,6.0,2.84,2025-09-22
Titanium,Polished,28.7,1.439,Glasningslist,0.1683052276383911,medium,126492,3.24,micro,12.0,2.5,2025-03-29
Iron,Blackening,28.7,0.909,L-profil,0.07359204298559428,high,80234,3.74,small,5.0,3.32,2025-02-15
Nickel,Brushed,29.7,1.333,Tätningslist,0.10022353523637373,high,138096,4.14,medium,10.0,2.29,2025-04-29
Titanium,Chrome plated,31.4,1.483,Z-profil,0.11504777839075732,medium,143105,3.7,small,7.0,2.2,2025-01-19
Tin,Plasma sprayed,34.4,0.99,Clipsprofil,0.19488617996845448,medium,113403,2.73,large,12.0,2.73,2025-08-08
Tin,Plasma sprayed,22.0,1.548,Anslagslist,0.07259052943500446,medium,61140,3.37,small,11.0,3.65,2025-08-21
Titanium,Blackening,34.8,1.369,Skenprofil,0.06646029745776418,high,150389,3.48,micro,11.0,2.07,2025-04-04
Steel,Wet painted,27.3,1.704,T-profil,0.1043738176186684,high,121667,2.83,small,11.0,2.58,2025-09-08
Nickel,Phosphated,17.5,0.876,Mittpost,0.052240232584695734,low,45565,4.08,micro,4.0,3.93,2025-09-07
Iron,Chrome plated,17.1,1.079,Sidoprofil,0.0732739661537881,medium,37724,2.83,small,11.0,4.07,2025-10-09
Titanium,Anodized,23.5,1.385,Ramlist,0.19216032799653138,low,52925,2.83,micro,7.0,3.8,2025-08-20
Steel,Anodized,33.9,1.107,L-profil,0.11748575329293888,medium,111922,4.01,large,2.0,2.75,2025-02-15
Tin,Blackening,32.1,1.488,Ventilationslister,0.14553886497765428,low,61487,3.29,micro,6.0,3.65,2025-02-15
Tin,Plasma sprayed,34.0,1.529,Spröjsprofil,0.16780289631767115,medium,68229,2.65,small,11.0,3.53,2025-01-14
Zinc,Anodized,27.7,0.931,Ramlist,0.10689810376868542,medium,94192,3.5,large,7.0,3.07,2025-03-26
Titanium,Brushed,25.9,1.305,Droppnäsa,0.07935939650796149,high,52839,3.51,small,12.0,3.8,2025-11-15
Nickel,Polished,19.1,1.301,Ytterram,0.07125217134429435,low,88930,2.65,large,,3.16,2025-11-24
Aluminium,Electroplated,23.3,1.174,Rörprofil,0.08789184465238939,medium,122939,4.1,medium,12.0,2.56,2025-01-03
Nickel,Hot-dip galvanized,25.8,1.687,J-profil,0.1445887389121663,medium,125710,3.42,medium,10.0,2.51,2025-01-28
Tin,Blackening,17.8,1.591,Kopplingsprofil,0.11977527872422401,low,41515,3.44,medium,12.0,4.0,2025-06-06
Tin,Wet painted,20.8,1.472,Anslagslist,0.05427706335276065,medium,71685,3.38,small,4.0,3.47,2025-12-09
Copper,Phosphated,29.6,1.488,Karmlist,0.13481734552638922,low,119880,3.52,small,3.0,2.61,2025-11-29
Tin,Hot-dip galvanized,32.8,1.258,Karmprofil,0.17769915353627522,high,109762,2.97,large,5.0,2.79,2025-11-28
Iron,Phosphated,38.8,1.676,Glasningslist,0.16935062870039944,low,145696,3.01,large,9.0,2.16,2025-06-24
Brass,Powder coated,37.3,1.47,Vinkellist,0.16794219923030096,high,129337,3.36,large,12.0,2.45,2025-04-24
Titanium,Hot-dip galvanized,30.6,1.501,Ytterram,0.17105901511177293,low,127610,3.83,large,9.0,2.48,2025-11-27
Nickel,Electroplated,25.5,1.622,Karmlist,0.09314847782042769,medium,57308,2.63,micro,,3.72,2025-09-07
Brass,Plasma sprayed,30.4,1.087,Karmlist,0.16752419074264563,high,81228,3.51,medium,5.0,3.3,2025-02-28
Steel,Brushed,33.9,1.572,Kantskydd,0.0662426221038262,high,115396,3.83,micro,4.0,2.69,2025-07-22
Aluminium,Polished,18.5,1.015,Kantskydd,0.13584930303875187,high,122176,2.8,micro,11.0,2.57,2025-11-11
Iron,Polished,25.2,1.152,Droppnäsa,0.13787311845598277,low,57276,2.57,micro,3.0,3.72,2025-08-27
Nickel,Brushed,35.2,1.143,Ramlist,0.05254443073419869,low,146242,3.05,micro,5.0,2.15,2025-08-22
Brass,Chrome plated,24.6,1.728,Glashållare,0.17033933339397322,medium,157284,3.49,medium,7.0,1.95,2025-10-30
Aluminium,Powder coated,29.0,1.617,Karmprofil,0.1914354393219103,high,59926,2.77,micro,12.0,3.67,2025-04-05
Copper,Phosphated,29.3,1.476,Korsprofil,0.08668911313631335,high,130556,3.23,large,12.0,2.43,2025-05-21
Iron,Electroplated,20.0,1.499,Distansprofil,0.1746752618341222,low,132837,3.43,small,6.0,2.39,2025-11-30
Iron,Anodized,24.1,1.349,Doldbeslag,0.0643554149015622,low,92089,3.5,large,4.0,3.11,2025-04-23
Copper,Hot-dip galvanized,23.5,1.7,Kilspår,0.14067603077752291,medium,37000,2.99,small,3.0,4.08,2025-04-19
Titanium,Powder coated,16.3,1.289,Sidoprofil,0.11653615266325067,medium,141631,3.19,large,10.0,2.23,2025-12-28
